entity_times,n_times,lon,lat,dataset
Ireland,87,-7.6920536,53.1423672,times
India,40,78.96288,20.593684,times
Madrid,29,-3.7037902,40.4167754,times
Portugal,28,-8.224454,39.399872,times
France,25,2.213749,46.227638,times
China,17,104.195397,35.86166,times
Austria,12,14.550072,47.516231,times
Hungary,11,19.503304,47.162494,times
Naples,9,-81.7948103,26.1420358,times
Mexico,8,-102.552784,23.634501,times
Switzerland,7,8.227512,46.818188,times
Mexican,7,-102.552784,23.634501,times
England,6,-1.1743197,52.3555177,times
M.P.,6,78.6568942,22.9734229,times
Italy,5,12.56738,41.87194,times
Lords,5,-0.1721564,51.529831,times
Rome,5,12.4963655,41.9027835,times
Canada,4,-106.346771,56.130366,times
Lisbon,4,-9.1393366,38.7222524,times
And_Sicily,4,14.0153557,37.5999938,times
New_York,3,-74.0059728,40.7127753,times
Lincoln's-Inn,3,-0.1132912,51.5160414,times
Sardinia,3,9.0128926,40.1208752,times
London,3,-0.1275862,51.5072178,times
Edinburgh,3,-3.188267,55.953252,times
Cobden,3,-89.253418,37.5314386,times
Drury-Lane,2,-87.9529474,41.8595278,times
Parma,2,10.3279036,44.801485,times
And_Naples,2,14.26812,40.8517983,times
The_Madrid,2,-97.0932133,32.7793405,times
Poland,2,19.145136,51.919438,times
Greece,2,21.824312,39.074208,times
Of_Germany,2,10.451526,51.165691,times
California,2,-119.4179324,36.778261,times
Essex,2,0.4856781,51.5742447,times
Pa-,1,-77.1945247,41.2033216,times
Gray's-,1,-93.2362534,44.9804281,times
Laples,1,-91.0804562,30.4285272,times
Palermo,1,13.3614868,38.11569,times
The_Island,1,-83.5700742,35.8024413,times
Brandenburg,1,12.5316444,52.4125287,times
Calais,1,1.858686,50.95129,times
Dunkirk,1,2.3767763,51.0343684,times
Russian_Opinions,1,105.318756,61.52401,times
Le_Telemaque,1,9.4035579,41.751262,times
Bulgaria,1,25.48583,42.733883,times
Georgestreet,1,-52.7112597,47.561175,times
Hanover-Square,1,-76.1509415,43.0503337,times
Drogheda,1,-6.3560985,53.717856,times
Denmark,1,9.501785,56.26392,times
Sheffield_suggests,1,-80.2788466,36.0950743,times
Canton,1,113.26436,23.1290799,times
Delphi,1,22.4940617,38.4800567,times
Germany,1,10.451526,51.165691,times
Peru,1,-75.015152,-9.189967,times
And_Egyptian_Question,1,30.802498,26.820553,times
Scotland,1,-4.2026458,56.4906712,times
Bangkok,1,100.5017651,13.7563309,times
Of_Greece,1,21.824312,39.074208,times
Turkey,1,35.243322,38.963745,times
Maryland,1,-76.6412712,39.0457549,times
South_Derbyshire,1,-1.5237491,52.8429447,times
Hounslow,1,-0.373149,51.4609218,times
Preston,1,-2.70309,53.763201,times
And_Bristol,1,-2.58791,51.454513,times
On_Greece,1,21.824312,39.074208,times
LA_Trappe,1,0.537415,48.617649,times
And_Australia,1,133.775136,-25.274398,times
Pacific,1,-121.3128577,37.9798869,times
Australian_Mails,1,133.775136,-25.274398,times
New_South_Wales,1,146.921099,-31.2532183,times
Picardy,1,2.5280732,49.6636127,times
Le_Velay,1,3.882936,45.042768,times
Paris,1,2.3522219,48.856614,times
Londdon,1,-0.1275862,51.5072178,times
Glasgow,1,-4.251806,55.864237,times
Lombardy,1,9.8452433,45.4790671,times
R._Cobden,1,-89.253418,37.5314386,times
Cherbourg,1,-1.622224,49.6338979,times
Luxembourg,1,6.129583,49.815273,times
Committee,1,-71.0463729,42.3533747,times
Cayenne,1,-52.3134531,4.92242,times
South_Italy,1,15.4068079,40.5625825,times
Stockport,1,-2.1575332,53.4106316,times
Berlin,1,13.404954,52.5200066,times
Of_South_Wales,1,-3.3821421,51.6858341,times
South_Australia,1,136.2091547,-30.0002315,times
Wilts,1,-1.9927105,51.3491996,times
Kingdom_Alliance,1,18.117935,44.1252407,times
Crimean,1,34.4997274,45.3453029,times
San_Domingo,1,-69.9312117,18.4860575,times
Lucca,1,10.5026977,43.8429197,times
Newington_Butts,1,-0.1007139,51.4934239,times
